pitch angle	target_pitch	Nope_dont_do_it!!
-0.191230	0.000000	0.009561
-0.208622	0.000000	0.060059
-0.222609	0.000000	0.114571
-0.224717	0.000000	0.170690
-0.205581	0.000000	0.223928
-0.173621	0.000000	0.270900
-0.114669	0.000000	0.304714
-0.051653	0.000000	0.324109
0.026854	0.000000	0.323770
0.085287	0.000000	0.308085
0.139380	0.000000	0.277131
0.173947	0.000000	0.237542
0.182490	0.000000	0.191731
0.180040	0.000000	0.145077
0.184551	0.000000	0.098350
0.182182	0.000000	0.052574
0.218953	0.000000	-0.000836
0.238623	0.000000	-0.058911
0.179459	0.000000	-0.108534
0.133818	0.000000	-0.145608
0.099347	0.000000	-0.175757
0.038089	0.000000	-0.193267
-0.004327	0.000000	-0.194615
-0.074869	0.000000	-0.175269
-0.147786	0.000000	-0.147332
-0.173422	0.000000	-0.095175
-0.402464	0.000000	-0.010271
-0.355210	0.000000	0.074266
-0.136458	0.000000	0.126041
-0.174732	0.000000	0.173497
-0.163890	0.000000	0.223661
-0.119851	0.000000	0.259243
-0.109512	0.000000	0.286297
-0.151471	0.000000	0.321179
-0.190270	0.000000	0.361539
-0.236533	0.000000	0.411591
-0.266704	0.000000	0.474890
-0.266494	0.000000	0.543142
-0.239514	0.000000	0.605376
-0.202589	0.000000	0.652998
-0.285064	0.000000	0.701726
-0.035752	0.000000	0.725841
-0.046004	0.000000	0.727974
-0.071433	0.000000	0.735255
-0.063114	0.000000	0.752170
0.107049	0.000000	0.747910
0.108852	0.000000	0.734640
0.092034	0.000000	0.712807
0.090708	0.000000	0.686118
-0.003984	0.000000	0.669512
-0.110768	0.000000	0.685039
-0.076190	0.000000	0.702154
0.117766	0.000000	0.686271
0.160781	0.000000	0.654958
0.321535	0.000000	0.593372
0.388085	0.000000	0.494768
0.386748	0.000000	0.392996
0.306262	0.000000	0.307311
0.174186	0.000000	0.243232
0.273945	0.000000	0.181313
0.645428	0.000000	0.055135
1.123226	0.000000	-0.173753
1.686533	0.000000	-0.539283
2.428058	0.000000	-1.081301
3.093423	0.000000	-1.792009
3.907278	0.000000	-2.692979
4.486785	0.000000	-3.766473
4.816134	0.000000	-4.943295
4.937948	0.000000	-6.168280
5.069829	0.000000	-7.423460
5.125277	0.000000	-8.709953
5.187792	0.000000	-9.999099
5.172325	0.000000	-11.301142
5.241010	0.000000	-12.610741
5.268524	0.000000	-13.928460
5.251349	0.000000	-15.247225
5.190533	0.000000	-16.551506
5.213820	0.000000	-17.854464
5.342583	0.000000	-19.179689
5.216047	0.000000	-20.495628
